"retrieved_utc","title","bytes","width","height","mime","commons_sha1_hex","license","license_url","attribution_required","copyrighted","artist_html","credit_html","original_url","description_url","metadata_api"
"2026-08-21T10:06:13Z","File:Hyperboloid1.png","278393","1350","1301","image/png","8dd605e11b3b6cb2597dbdfaaac4857e979ceaaa","Public domain",,"false","False","Lars H. Rohwedder (<a href=""//commons.wikimedia.org/wiki/User:RokerHRO"" title=""User:RokerHRO"">User:RokerHRO</a>)","<span class=""int-own-work"" lang=""de"">Eigenes Werk</span>","https://upload.wikimedia.org/wikipedia/commons/4/46/Hyperboloid1.png","https://commons.wikimedia.org/wiki/File:Hyperboloid1.png","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Hyperboloid2.png","194637","1350","1246","image/png","e70d4d6f4c5e4a0d703b48bdcddc2ed7fa25b3be","Public domain",,"false","False","Lars H. Rohwedder (<a href=""//commons.wikimedia.org/wiki/User:RokerHRO"" title=""User:RokerHRO"">User:RokerHRO</a>)","<span class=""int-own-work"" lang=""de"">Eigenes Werk</span>","https://upload.wikimedia.org/wikipedia/commons/f/f2/Hyperboloid2.png","https://commons.wikimedia.org/wiki/File:Hyperboloid2.png","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Inclusion-exclusion.svg","6804","500","400","image/svg+xml","cc9ef91306f4db7a1658720eb4310e255b0b6943","Public domain",,"false","False","Unbekannt<span style=""display: none;"">Unknown </span>","Unbekannt<span style=""display: none;"">Unknown </span>","https://upload.wikimedia.org/wikipedia/commons/4/42/Inclusion-exclusion.svg","https://commons.wikimedia.org/wiki/File:Inclusion-exclusion.svg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Inner point.png","9165","247","378","image/png","5b2ba4843701c43776725e38f3e9bac093a4886c","Public domain",,"false","False","<a href=""//commons.wikimedia.org/w/index.php?title=User:Zasdfgbnm&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Zasdfgbnm (page does not exist)"">Zasdfgbnm</a>","<span class=""int-own-work"" lang=""de"">Eigenes Werk</span>","https://upload.wikimedia.org/wikipedia/commons/b/b8/Inner_point.png","https://commons.wikimedia.org/wiki/File:Inner_point.png","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Insect on a torus tracing out a non-trivial geodesic.gif","4137285","364","360","image/gif","d5a4abb8ede5b5013ba18ef6b65045cc9889651c","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","true","True","<a href=""//commons.wikimedia.org/w/index.php?title=User:Hamishtodd1&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Hamishtodd1 (page does not exist)"">Hamishtodd1</a>","<span class=""int-own-work"" lang=""de"">Eigenes Werk</span>","https://upload.wikimedia.org/wikipedia/commons/6/6a/Insect_on_a_torus_tracing_out_a_non-trivial_geodesic.gif","https://commons.wikimedia.org/wiki/File:Insect_on_a_torus_tracing_out_a_non-trivial_geodesic.gif","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Integral apl rot obsah1.svg","8098","437","431","image/svg+xml","6acbfaacc41c1fb9c8500bbd1aef86d7fd230208","Public domain",,"false","False","<a href=""https://en.wikipedia.org/wiki/cs:User:Pajs"" class=""extiw"" title=""w:cs:User:Pajs"">Pajs</a> in der <a href=""https://en.wikipedia.org/wiki/cs:"" class=""extiw"" title=""w:cs:"">Wikipedia auf Tschechisch</a>","<bdi lang=""de"" dir=""ltr"">Übertragen aus <span class=""plainlinks""><a class=""external text"" data-mw-original-href=""//cs.wikipedia.org"" href=""https://cs.wikipedia.org"">cs.wikipedia</a></span> nach Commons.</bdi>","https://upload.wikimedia.org/wikipedia/commons/7/71/Integral_apl_rot_obsah1.svg","https://commons.wikimedia.org/wiki/File:Integral_apl_rot_obsah1.svg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Manifold zahyou3.png","9977","357","248","image/png","092d5bdf050bac4d712de6f40a3c96330d5b13dd","CC BY-SA 3.0","http://creativecommons.org/licenses/by-sa/3.0/","true","True","<a href=""https://en.wikipedia.org/wiki/ja:User:%EF%BC%91%EF%BC%93%EF%BC%92%E4%BA%BA%E7%9B%AE"" class=""extiw"" title=""w:ja:User:１３２人目"">１３２人目</a> in der <a href=""https://en.wikipedia.org/wiki/ja:"" class=""extiw"" title=""w:ja:"">Wikipedia auf Japanisch</a>","<a href=""https://ja.wikipedia.org/wiki/user:%EF%BC%91%EF%BC%93%EF%BC%92%E4%BA%BA%E7%9B%AE"" class=""extiw"" title=""ja:user:１３２人目"">ja:user:１３２人目</a>'s file.","https://upload.wikimedia.org/wikipedia/commons/1/10/Manifold_zahyou3.png","https://commons.wikimedia.org/wiki/File:Manifold_zahyou3.png","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Minimal surface curvature planes-de.svg","50805","766","579","image/svg+xml","4e9aca15c254ee07e01a99af4c7d0ea4f44b0ce7","CC BY-SA 3.0","http://creativecommons.org/licenses/by-sa/3.0/","true","True","Eric Gaba (<a href=""//commons.wikimedia.org/wiki/User:Sting"" title=""User:Sting"">Sting</a>)","Based upon a drawing in a book","https://upload.wikimedia.org/wikipedia/commons/1/15/Minimal_surface_curvature_planes-de.svg","https://commons.wikimedia.org/wiki/File:Minimal_surface_curvature_planes-de.svg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Möbius strip.jpg","82042","1328","824","image/jpeg","38f4c7787fd665a45ce9d7130d9d2d0deba5fcf8","CC BY-SA 3.0","http://creativecommons.org/licenses/by-sa/3.0/","true","True","<a href=""//commons.wikimedia.org/wiki/User:Dbenbenn"" title=""User:Dbenbenn"">David Benbennick</a>","<span class=""int-own-work"" lang=""de"">Eigenes Werk</span>","https://upload.wikimedia.org/wikipedia/commons/d/d9/M%C3%B6bius_strip.jpg","https://commons.wikimedia.org/wiki/File:M%C3%B6bius_strip.jpg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Not-star-shaped.svg","253","122","122","image/svg+xml","e6e0778e94069c7309c8969296f2790f1c87d7fb","Public domain",,"false","False","<a href=""https://en.wikipedia.org/wiki/User:WillT.Net"" class=""extiw"" title=""en:User:WillT.Net"">WillT.Net</a> (<a href=""https://en.wikipedia.org/wiki/User_talk:WillT.Net"" class=""extiw"" title=""en:User talk:WillT.Net"">Diskussion</a>)","<span class=""int-own-work"" lang=""de"">Eigenes Werk</span>","https://upload.wikimedia.org/wikipedia/commons/9/91/Not-star-shaped.svg","https://commons.wikimedia.org/wiki/File:Not-star-shaped.svg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Parabola circle.svg","19469","440","240","image/svg+xml","44184d0a73a11fda2689cedbd994280ab39ed2fd","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","true","True","<a href=""//commons.wikimedia.org/wiki/User:IkamusumeFan"" title=""User:IkamusumeFan"">IkamusumeFan</a>","<span class=""int-own-work"" lang=""de"">Eigenes Werk</span>","https://upload.wikimedia.org/wikipedia/commons/a/a7/Parabola_circle.svg","https://commons.wikimedia.org/wiki/File:Parabola_circle.svg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Parallel lines in Poincare's model of hyperbolic geometry.svg","32238","322","110","image/svg+xml","ee99cc2a5eedddffa02a0d8ff313fd478ad35b5c","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","true","True","<a href=""//commons.wikimedia.org/w/index.php?title=User:Januszkaja&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Januszkaja (page does not exist)"">Januszkaja</a>","<span class=""int-own-work"" lang=""de"">Eigenes Werk</span>","https://upload.wikimedia.org/wikipedia/commons/4/4b/Parallel_lines_in_Poincare%27s_model_of_hyperbolic_geometry.svg","https://commons.wikimedia.org/wiki/File:Parallel_lines_in_Poincare%27s_model_of_hyperbolic_geometry.svg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Parallel transport sphere2.svg","11448","425","425","image/svg+xml","c63af00b134c84472c499324e5ccb7e6badc33e0","CC BY-SA 3.0","http://creativecommons.org/licenses/by-sa/3.0/","true","True","<a href=""https://en.wikipedia.org/wiki/User:Silly_rabbit"" class=""extiw"" title=""wikipedia:User:Silly rabbit"">Silly rabbit</a> in der <a href=""https://en.wikipedia.org/wiki/"" class=""extiw"" title=""wikipedia:"">Wikipedia auf Englisch</a>","<span class=""int-own-work"" lang=""de"">Eigenes Werk</span>","https://upload.wikimedia.org/wikipedia/commons/2/24/Parallel_transport_sphere2.svg","https://commons.wikimedia.org/wiki/File:Parallel_transport_sphere2.svg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Partition of unity illustration.svg","12559","5400","891","image/svg+xml","38b2159759bef5eb0cfa3e42c7b870600ea37001","Public domain",,"false","False","<a href=""//commons.wikimedia.org/wiki/User:Oleg_Alexandrov"" title=""User:Oleg Alexandrov"">Oleg Alexandrov</a>","self-made with MATLAB, tweaked in Inkscape","https://upload.wikimedia.org/wikipedia/commons/5/5a/Partition_of_unity_illustration.svg","https://commons.wikimedia.org/wiki/File:Partition_of_unity_illustration.svg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Planned flight map of the Oiseau Blanc.svg","135949","1835","762","image/svg+xml","3d6fb9a70bae07a37c77b014835cec8777300a6e","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","true","True","<ul><li><a href=""//commons.wikimedia.org/wiki/File:BlankMap-World8.svg"" class=""mw-redirect"" title=""File:BlankMap-World8.svg"">BlankMap-World8.svg</a>: <a href=""//commons.wikimedia.org/wiki/User:AMK1211"" title=""User:AMK1211"">AMK1211</a></li>
<li>derivative work: <a href=""//commons.wikimedia.org/wiki/User:Pethrus"" title=""User:Pethrus"">Pethrus</a> (<a href=""//commons.wikimedia.org/wiki/User_talk:Pethrus"" title=""User talk:Pethrus""><span class=""signature-talk"">talk</span></a>)</li></ul>","<ul><li><a href=""//commons.wikimedia.org/wiki/File:BlankMap-World8.svg"" class=""mw-redirect"" title=""File:BlankMap-World8.svg"">BlankMap-World8.svg</a></li></ul>","https://upload.wikimedia.org/wikipedia/commons/d/d5/Planned_flight_map_of_the_Oiseau_Blanc.svg","https://commons.wikimedia.org/wiki/File:Planned_flight_map_of_the_Oiseau_Blanc.svg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Poincarehalfplaneconform.gif","956681","590","479","image/gif","3b1d79ff7e4c0a5741c5f8ac6f01bca6fdcf4592","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","true","True","<a href=""//commons.wikimedia.org/wiki/User:HB"" title=""User:HB"">HB</a>","<span class=""int-own-work"" lang=""de"">Eigenes Werk</span>","https://upload.wikimedia.org/wikipedia/commons/8/87/Poincarehalfplaneconform.gif","https://commons.wikimedia.org/wiki/File:Poincarehalfplaneconform.gif","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Runge theorem.svg","3611","800","600","image/svg+xml","e6ef52404397bf6ac8a9644df040e2b19e910367","Public domain",,"false","False","<a href=""//commons.wikimedia.org/wiki/User:Oleg_Alexandrov"" title=""User:Oleg Alexandrov"">Oleg Alexandrov</a>","self-made with <a href=""https://en.wikipedia.org/wiki/Inkscape"" class=""extiw"" title=""en:Inkscape"">en:Inkscape</a>","https://upload.wikimedia.org/wikipedia/commons/e/e1/Runge_theorem.svg","https://commons.wikimedia.org/wiki/File:Runge_theorem.svg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Sphere with three handles.png","398740","1308","1004","image/png","6890fd8dbe8f2a238b2629531380e3dcbaa792eb","Public domain",,"false","False","<a href=""//commons.wikimedia.org/wiki/User:Oleg_Alexandrov"" title=""User:Oleg Alexandrov"">Oleg Alexandrov</a>","self-made using <a href=""https://en.wikipedia.org/wiki/Matlab"" class=""extiw"" title=""en:Matlab"">MATLAB</a>","https://upload.wikimedia.org/wikipedia/commons/a/ac/Sphere_with_three_handles.png","https://commons.wikimedia.org/wiki/File:Sphere_with_three_handles.png","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:SS-stokes.jpg","228915","711","1065","image/jpeg","c68839173add3e8ebf613b837de43f11d5840f66","Public domain",,"false","False",,,"https://upload.wikimedia.org/wikipedia/commons/e/e3/SS-stokes.jpg","https://commons.wikimedia.org/wiki/File:SS-stokes.jpg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Stereographic projection in 3D.png","69330","640","473","image/png","9ebf8ae912dbb26b65f5cbf9cfd8ccb174dd15fe","Public domain",,"false","False","<a href=""https://en.wikipedia.org/wiki/User:Mark.Howison"" class=""extiw"" title=""wikipedia:User:Mark.Howison"">Mark.Howison</a> in der <a href=""https://en.wikipedia.org/wiki/"" class=""extiw"" title=""wikipedia:"">Wikipedia auf Englisch</a>","<bdi lang=""de"" dir=""ltr"">Übertragen aus <span class=""plainlinks""><a class=""external text"" data-mw-original-href=""//en.wikipedia.org"" href=""https://en.wikipedia.org"">en.wikipedia</a></span> nach Commons.</bdi>","https://upload.wikimedia.org/wikipedia/commons/8/85/Stereographic_projection_in_3D.png","https://commons.wikimedia.org/wiki/File:Stereographic_projection_in_3D.png","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Tangent bundle.svg","23116","400","963","image/svg+xml","44717b4e02c2e87eafedc1eb78263e1cc078e801","Public domain",,"false","False","<a href=""//commons.wikimedia.org/wiki/User:Oleg_Alexandrov"" title=""User:Oleg Alexandrov"">Oleg Alexandrov</a>","self-made, with <a href=""https://en.wikipedia.org/wiki/Matlab"" class=""extiw"" title=""en:Matlab"">en:Matlab</a> then tweaked with <a href=""https://en.wikipedia.org/wiki/Inkscape"" class=""extiw"" title=""en:Inkscape"">en:Inkscape</a>","https://upload.wikimedia.org/wikipedia/commons/8/87/Tangent_bundle.svg","https://commons.wikimedia.org/wiki/File:Tangent_bundle.svg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Tangentialvektor.svg","4790","640","440","image/svg+xml","d6385ee16ebcc717b2b83164a0d4849ef1a02483","Public domain",,"false","False","<ul><li>derivative work: <a href=""//commons.wikimedia.org/wiki/User:McSush"" title=""User:McSush"">McSush</a> (<a href=""//commons.wikimedia.org/wiki/User_talk:McSush"" title=""User talk:McSush""><span class=""signature-talk"">talk</span></a>)</li>
<li><a href=""//commons.wikimedia.org/wiki/File:Tangentialvektor.png"" title=""File:Tangentialvektor.png"">Tangentialvektor.png</a>: <a href=""https://de.wikipedia.org/wiki/Benutzer:TN"" class=""extiw"" title=""de:Benutzer:TN"">TN</a><br></li></ul>
Der ursprünglich hochladende Benutzer war <a href=""https://en.wikipedia.org/wiki/de:User:TN"" class=""extiw"" title=""w:de:User:TN"">TN</a> in der <a href=""https://en.wikipedia.org/wiki/de:"" class=""extiw"" title=""w:de:"">Wikipedia auf Deutsch</a>","<ul><li><a href=""//commons.wikimedia.org/wiki/File:Tangentialvektor.png"" title=""File:Tangentialvektor.png"">Tangentialvektor.png</a></li></ul>","https://upload.wikimedia.org/wikipedia/commons/e/e7/Tangentialvektor.svg","https://commons.wikimedia.org/wiki/File:Tangentialvektor.svg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Théorème-de-Brouwer-(cond-1).jpg","33149","200","300","image/jpeg","4167e29f29a545ba4ea34928b578d1887be6279d","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","true","True","<a href=""//commons.wikimedia.org/wiki/User:Jean-Luc_W"" title=""User:Jean-Luc W"">Jean-Luc W</a>","<span class=""int-own-work"" lang=""de"">Eigenes Werk</span>","https://upload.wikimedia.org/wikipedia/commons/4/4d/Th%C3%A9or%C3%A8me-de-Brouwer-%28cond-1%29.jpg","https://commons.wikimedia.org/wiki/File:Th%C3%A9or%C3%A8me-de-Brouwer-(cond-1).jpg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Théorème-de-Brouwer-(cond-2).jpg","20602","180","177","image/jpeg","a2688688ffbb8d863021627ad4986f1151f802a3","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","true","True","<a href=""//commons.wikimedia.org/wiki/User:Jean-Luc_W"" title=""User:Jean-Luc W"">Jean-Luc W</a>","<span class=""int-own-work"" lang=""de"">Eigenes Werk</span>","https://upload.wikimedia.org/wikipedia/commons/5/5a/Th%C3%A9or%C3%A8me-de-Brouwer-%28cond-2%29.jpg","https://commons.wikimedia.org/wiki/File:Th%C3%A9or%C3%A8me-de-Brouwer-(cond-2).jpg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Toroidal coord.png","151522","1024","768","image/png","fecb5ee4ab360d9604988b4568117a40c5db7e1d","CC BY 2.5","https://creativecommons.org/licenses/by/2.5","true","True","<a href=""//commons.wikimedia.org/w/index.php?title=User:DaveBurke&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:DaveBurke (page does not exist)"">DaveBurke</a>","<span class=""int-own-work"" lang=""de"">Eigenes Werk</span>","https://upload.wikimedia.org/wikipedia/commons/d/db/Toroidal_coord.png","https://commons.wikimedia.org/wiki/File:Toroidal_coord.png","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Torus vectors oblique.jpg","251142","2038","1730","image/jpeg","fae076a93a4a1961db5413c6044862a020f2be25","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","true","True","<a href=""//commons.wikimedia.org/wiki/User:RokerHRO"" title=""User:RokerHRO"">RokerHRO</a>","<span class=""int-own-work"" lang=""de"">Eigenes Werk</span>","https://upload.wikimedia.org/wikipedia/commons/b/b4/Torus_vectors_oblique.jpg","https://commons.wikimedia.org/wiki/File:Torus_vectors_oblique.jpg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
