"retrieved_utc","title","bytes","width","height","mime","commons_sha1_hex","license","license_url","attribution_required","copyrighted","artist_html","credit_html","original_url","description_url","metadata_api"
"2026-08-21T10:06:13Z","File:2019-07-Helix.jpg","377311","1334","2000","image/jpeg","734f2369fbc85043b15b2761618b4db7c5273758","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","true","True","<a href=""//commons.wikimedia.org/wiki/User:Ag2gaeh"" title=""User:Ag2gaeh"">Ag2gaeh</a>","<span class=""int-own-work"" lang=""de"">Eigenes Werk</span>","https://upload.wikimedia.org/wikipedia/commons/9/91/2019-07-Helix.jpg","https://commons.wikimedia.org/wiki/File:2019-07-Helix.jpg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:3d-function-6.svg","1215777","566","439","image/svg+xml","bd607e723bc84f4175eda92fbd3551cb94d84a2e","CC BY 3.0","https://creativecommons.org/licenses/by/3.0","true","True","<a href=""//commons.wikimedia.org/wiki/User:MartinThoma"" title=""User:MartinThoma"">MartinThoma</a>","<span class=""int-own-work"" lang=""de"">Eigenes Werk</span>","https://upload.wikimedia.org/wikipedia/commons/7/7e/3d-function-6.svg","https://commons.wikimedia.org/wiki/File:3d-function-6.svg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Cilinderprojectie-constructie.jpg","172697","1024","768","image/jpeg","0ad09cfc88a1cfb8d3c21c383f4cf4e9f5faf349","Public domain",,"false","False","<a href=""//commons.wikimedia.org/wiki/User:KoenB"" title=""User:KoenB"">KoenB</a>","<span class=""int-own-work"" lang=""de"">Eigenes Werk</span>","https://upload.wikimedia.org/wikipedia/commons/9/96/Cilinderprojectie-constructie.jpg","https://commons.wikimedia.org/wiki/File:Cilinderprojectie-constructie.jpg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Circle - black simple.svg","207","500","500","image/svg+xml","ef5e6d0f5ef3d92cc5ba0edbe559f544351f94c4","Public domain",,"false","False","<a href=""//commons.wikimedia.org/wiki/User:Darkdadaah"" title=""User:Darkdadaah"">Dakdada</a>","<span class=""int-own-work"" lang=""de"">Eigenes Werk</span>","https://upload.wikimedia.org/wikipedia/commons/a/a0/Circle_-_black_simple.svg","https://commons.wikimedia.org/wiki/File:Circle_-_black_simple.svg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Circle on sphere wireframe 10deg 6r.svg","15703","800","800","image/svg+xml","be2bc81df4b2883cda3e394c1d3ae761724eb9d5","CC BY 3.0","https://creativecommons.org/licenses/by/3.0","true","True","<a href=""//commons.wikimedia.org/wiki/User:Itai"" title=""User:Itai"">Itai</a>","<span class=""int-own-work"" lang=""de"">Eigenes Werk</span>","https://upload.wikimedia.org/wikipedia/commons/6/6d/Circle_on_sphere_wireframe_10deg_6r.svg","https://commons.wikimedia.org/wiki/File:Circle_on_sphere_wireframe_10deg_6r.svg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Euler spiral.svg","31848","800","800","image/svg+xml","df9e31d9c0a85a3801468b040b7f063e5cbc2498","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","true","True","<a href=""//commons.wikimedia.org/wiki/User:AdiJapan"" title=""User:AdiJapan"">AdiJapan</a>","<span class=""int-own-work"" lang=""de"">Eigenes Werk</span>","https://upload.wikimedia.org/wikipedia/commons/9/91/Euler_spiral.svg","https://commons.wikimedia.org/wiki/File:Euler_spiral.svg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Evolute-parab.svg","44890","367","247","image/svg+xml","693262a111127462aff1d67de6d5f02e24240850","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","true","True","<a href=""//commons.wikimedia.org/wiki/User:Ag2gaeh"" title=""User:Ag2gaeh"">Ag2gaeh</a>","<span class=""int-own-work"" lang=""de"">Eigenes Werk</span>","https://upload.wikimedia.org/wikipedia/commons/6/68/Evolute-parab.svg","https://commons.wikimedia.org/wiki/File:Evolute-parab.svg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Fiddler crab mobius strip.gif","1557242","317","489","image/gif","3b839b0399284006c6cbc7d23d3ef75aa00f58d5","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","true","True","<a href=""//commons.wikimedia.org/w/index.php?title=User:Hamishtodd1&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Hamishtodd1 (page does not exist)"">Hamishtodd1</a>","<span class=""int-own-work"" lang=""de"">Eigenes Werk</span>","https://upload.wikimedia.org/wikipedia/commons/b/b7/Fiddler_crab_mobius_strip.gif","https://commons.wikimedia.org/wiki/File:Fiddler_crab_mobius_strip.gif","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Georg Friedrich Bernhard Riemann.jpeg","255626","903","986","image/jpeg","6ce62e0a7c81bbcbf6581d2463b88962cc150a1f","Public domain",,"false","False",,"<a rel=""nofollow"" class=""external free"" href=""http://www.sil.si.edu/digitalcollections/hst/scientific-identity/explore.htm"">http://www.sil.si.edu/digitalcollections/hst/scientific-identity/explore.htm</a> according to the <a href=""https://de.wikipedia.org/wiki/"" class=""extiw"" title=""de:"">German Wikipedia</a>.","https://upload.wikimedia.org/wikipedia/commons/8/82/Georg_Friedrich_Bernhard_Riemann.jpeg","https://commons.wikimedia.org/wiki/File:Georg_Friedrich_Bernhard_Riemann.jpeg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
"2026-08-21T10:06:13Z","File:Great circle passing through two points.svg","7568","1839","1846","image/svg+xml","03c1bc430996c097c9eecf23bc84df7386aabeb1","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","true","True","<a href=""//commons.wikimedia.org/wiki/User:HaEr48"" title=""User:HaEr48"">HaEr48</a>","<span class=""int-own-work"" lang=""de"">Eigenes Werk</span>, Diese Datei wurde von diesem Werk abgeleitet:  <a href=""//commons.wikimedia.org/wiki/File:Polar_angle_to_spherical_side.svg"" title=""File:Polar angle to spherical side.svg"">Polar angle to spherical side.svg</a>: <span typeof=""mw:File""><a href=""//commons.wikimedia.org/wiki/File:Polar_angle_to_spherical_side.svg"" class=""mw-file-description""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Polar_angle_to_spherical_side.svg/250px-Polar_angle_to_spherical_side.svg.png"" decoding=""async"" width=""150"" height=""151"" class=""mw-file-element"" srcset=""https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Polar_angle_to_spherical_side.svg/330px-Polar_angle_to_spherical_side.svg.png 2x"" data-file-width=""1839"" data-file-height=""1846""></a></span> <i>von</i> <a href=""//commons.wikimedia.org/w/index.php?title=User:Episcophagus&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Episcophagus (page does not exist)"">Episcophagus</a><br>","https://upload.wikimedia.org/wikipedia/commons/b/be/Great_circle_passing_through_two_points.svg","https://commons.wikimedia.org/wiki/File:Great_circle_passing_through_two_points.svg","https://de.wikiversity.org/w/api.php (foreign-repository imageinfo/extmetadata)"
