"title","class","exists","status","bytes","commons_sha1_hex","license","source_url","description_url","evidence"
"File:2019-07-Helix.jpg","commons_image_asset","True","metadata_verified","377311","734f2369fbc85043b15b2761618b4db7c5273758","CC BY-SA 4.0","https://upload.wikimedia.org/wikipedia/commons/9/91/2019-07-Helix.jpg","https://commons.wikimedia.org/wiki/File:2019-07-Helix.jpg","de.wikiversity foreign-repository imageinfo/extmetadata"
"File:3d-function-6.svg","commons_image_asset","True","metadata_verified","1215777","bd607e723bc84f4175eda92fbd3551cb94d84a2e","CC BY 3.0","https://upload.wikimedia.org/wikipedia/commons/7/7e/3d-function-6.svg","https://commons.wikimedia.org/wiki/File:3d-function-6.svg","de.wikiversity foreign-repository imageinfo/extmetadata"
"File:Cilinderprojectie-constructie.jpg","commons_image_asset","True","metadata_verified","172697","0ad09cfc88a1cfb8d3c21c383f4cf4e9f5faf349","Public domain","https://upload.wikimedia.org/wikipedia/commons/9/96/Cilinderprojectie-constructie.jpg","https://commons.wikimedia.org/wiki/File:Cilinderprojectie-constructie.jpg","de.wikiversity foreign-repository imageinfo/extmetadata"
"File:Circle - black simple.svg","commons_image_asset","True","metadata_verified","207","ef5e6d0f5ef3d92cc5ba0edbe559f544351f94c4","Public domain","https://upload.wikimedia.org/wikipedia/commons/a/a0/Circle_-_black_simple.svg","https://commons.wikimedia.org/wiki/File:Circle_-_black_simple.svg","de.wikiversity foreign-repository imageinfo/extmetadata"
"File:Circle on sphere wireframe 10deg 6r.svg","commons_image_asset","True","metadata_verified","15703","be2bc81df4b2883cda3e394c1d3ae761724eb9d5","CC BY 3.0","https://upload.wikimedia.org/wikipedia/commons/6/6d/Circle_on_sphere_wireframe_10deg_6r.svg","https://commons.wikimedia.org/wiki/File:Circle_on_sphere_wireframe_10deg_6r.svg","de.wikiversity foreign-repository imageinfo/extmetadata"
"File:Euler spiral.svg","commons_image_asset","True","metadata_verified","31848","df9e31d9c0a85a3801468b040b7f063e5cbc2498","CC BY-SA 3.0","https://upload.wikimedia.org/wikipedia/commons/9/91/Euler_spiral.svg","https://commons.wikimedia.org/wiki/File:Euler_spiral.svg","de.wikiversity foreign-repository imageinfo/extmetadata"
"File:Evolute-parab.svg","commons_image_asset","True","metadata_verified","44890","693262a111127462aff1d67de6d5f02e24240850","CC BY-SA 4.0","https://upload.wikimedia.org/wikipedia/commons/6/68/Evolute-parab.svg","https://commons.wikimedia.org/wiki/File:Evolute-parab.svg","de.wikiversity foreign-repository imageinfo/extmetadata"
"File:Fiddler crab mobius strip.gif","commons_image_asset","True","metadata_verified","1557242","3b839b0399284006c6cbc7d23d3ef75aa00f58d5","CC BY-SA 4.0","https://upload.wikimedia.org/wikipedia/commons/b/b7/Fiddler_crab_mobius_strip.gif","https://commons.wikimedia.org/wiki/File:Fiddler_crab_mobius_strip.gif","de.wikiversity foreign-repository imageinfo/extmetadata"
"File:Georg Friedrich Bernhard Riemann.jpeg","commons_image_asset","True","metadata_verified","255626","6ce62e0a7c81bbcbf6581d2463b88962cc150a1f","Public domain","https://upload.wikimedia.org/wikipedia/commons/8/82/Georg_Friedrich_Bernhard_Riemann.jpeg","https://commons.wikimedia.org/wiki/File:Georg_Friedrich_Bernhard_Riemann.jpeg","de.wikiversity foreign-repository imageinfo/extmetadata"
"File:Great circle passing through two points.svg","commons_image_asset","True","metadata_verified","7568","03c1bc430996c097c9eecf23bc84df7386aabeb1","CC BY-SA 4.0","https://upload.wikimedia.org/wikipedia/commons/b/be/Great_circle_passing_through_two_points.svg","https://commons.wikimedia.org/wiki/File:Great_circle_passing_through_two_points.svg","de.wikiversity foreign-repository imageinfo/extmetadata"
"File:Hyperboloid1.png","commons_image_asset","True","metadata_verified","278393","8dd605e11b3b6cb2597dbdfaaac4857e979ceaaa","Public domain","https://upload.wikimedia.org/wikipedia/commons/4/46/Hyperboloid1.png","https://commons.wikimedia.org/wiki/File:Hyperboloid1.png","de.wikiversity foreign-repository imageinfo/extmetadata"
"File:Hyperboloid2.png","commons_image_asset","True","metadata_verified","194637","e70d4d6f4c5e4a0d703b48bdcddc2ed7fa25b3be","Public domain","https://upload.wikimedia.org/wikipedia/commons/f/f2/Hyperboloid2.png","https://commons.wikimedia.org/wiki/File:Hyperboloid2.png","de.wikiversity foreign-repository imageinfo/extmetadata"
"File:Inclusion-exclusion.svg","commons_image_asset","True","metadata_verified","6804","cc9ef91306f4db7a1658720eb4310e255b0b6943","Public domain","https://upload.wikimedia.org/wikipedia/commons/4/42/Inclusion-exclusion.svg","https://commons.wikimedia.org/wiki/File:Inclusion-exclusion.svg","de.wikiversity foreign-repository imageinfo/extmetadata"
"File:Inner point.png","commons_image_asset","True","metadata_verified","9165","5b2ba4843701c43776725e38f3e9bac093a4886c","Public domain","https://upload.wikimedia.org/wikipedia/commons/b/b8/Inner_point.png","https://commons.wikimedia.org/wiki/File:Inner_point.png","de.wikiversity foreign-repository imageinfo/extmetadata"
