"title","namespace","pageid","revid","timestamp_utc","mediawiki_sha1_base36","text_utf8_bytes","source_export_file","source_export_sha256"
"Kurs:Differentialgeometrie (Osnabrück 2023)","106","142521","889544","2023-03-07T11:39:09Z","qganplcbnm71htqvudmehx6zb3bk5d9","413","brenner_course_recursive_current.xml","6b96c90a8b1e52fac57c735f28d0babc56a95050ca015075b755179270d75d14"
"Kurs:Differentialgeometrie (Osnabrück 2023)/Vorlesung 1","106","142545","894388","2023-04-23T09:27:24Z","siycibaejejot7bj68m5mgwko2hhlxl","849","brenner_course_recursive_current.xml","6b96c90a8b1e52fac57c735f28d0babc56a95050ca015075b755179270d75d14"
"Kurs:Differentialgeometrie (Osnabrück 2023)/Vorlesung 2","106","142546","893641","2023-04-13T16:07:37Z","p58d9syrhxwk61sqiu43xxqt99rmgua","709","brenner_course_recursive_current.xml","6b96c90a8b1e52fac57c735f28d0babc56a95050ca015075b755179270d75d14"
"Kurs:Differentialgeometrie (Osnabrück 2023)/Vorlesung 3","106","142547","1020016","2025-08-09T13:42:46Z","95su7ztt9yhitryq6okb4o7nb832en7","3345","brenner_course_recursive_current.xml","6b96c90a8b1e52fac57c735f28d0babc56a95050ca015075b755179270d75d14"
"Kurs:Differentialgeometrie (Osnabrück 2023)/Vorlesung 4","106","142548","893683","2023-04-14T08:21:27Z","m5bw869ocdnu96zkj86a49xd947srbm","189","brenner_course_recursive_current.xml","6b96c90a8b1e52fac57c735f28d0babc56a95050ca015075b755179270d75d14"
"Kurs:Differentialgeometrie (Osnabrück 2023)/Vorlesung 5","106","142549","894651","2023-04-26T06:22:24Z","aqei7hjs39ik210llvxlfogh4b8std7","547","brenner_course_recursive_current.xml","6b96c90a8b1e52fac57c735f28d0babc56a95050ca015075b755179270d75d14"
"Kurs:Differentialgeometrie (Osnabrück 2023)/Vorlesung 6","106","142550","894447","2023-04-24T07:15:51Z","euvio8ibhh631ftjmvfj7osz8n5ees4","448","brenner_course_recursive_current.xml","6b96c90a8b1e52fac57c735f28d0babc56a95050ca015075b755179270d75d14"
"Kurs:Differentialgeometrie (Osnabrück 2023)/Vorlesung 7","106","142551","1052941","2025-08-28T06:41:28Z","37za5lak4buk6icxuwqmlp5i93uh4ai","4103","brenner_course_recursive_current.xml","6b96c90a8b1e52fac57c735f28d0babc56a95050ca015075b755179270d75d14"
"Kurs:Differentialgeometrie (Osnabrück 2023)/Vorlesung 8","106","142552","886680","2023-02-20T16:25:42Z","g42gsoe6eogiojlvh9nbyiv6qgfwsj1","1833","brenner_course_recursive_current.xml","6b96c90a8b1e52fac57c735f28d0babc56a95050ca015075b755179270d75d14"
"Kurs:Differentialgeometrie (Osnabrück 2023)/Vorlesung 9","106","142553","991592","2025-01-23T13:22:49Z","aolvg9mldzazu2sciber4zcn19ejn7o","1199","brenner_course_recursive_current.xml","6b96c90a8b1e52fac57c735f28d0babc56a95050ca015075b755179270d75d14"
"Kurs:Differentialgeometrie (Osnabrück 2023)/Vorlesung 10","106","142554","1069485","2026-02-05T20:57:25Z","mwu7x9yuenp6wkk8fhacgwk24j31jtu","3717","brenner_course_recursive_current.xml","6b96c90a8b1e52fac57c735f28d0babc56a95050ca015075b755179270d75d14"
