"title","namespace","pageid","revid","timestamp_utc","mediawiki_sha1_base36","text_utf8_bytes","source_export_file","source_export_sha256"
"Kurs:Differentialgeometrie (Osnabrück 2023)/Vorlesung 1/latex","106","142575","807114","2022-09-18T09:58:30Z","3e3nqvm6nsvokcc33v86ivll7ce6lru","9","brenner_latex_kontrolle_recursive_current.xml","4c489c44a3d856304a8724e04c1007aa8b18d0e7099257aaf711a084eab0de7c"
"Kurs:Differentialgeometrie (Osnabrück 2023)/Vorlesung 2/latex","106","142576","807125","2022-09-18T10:00:20Z","3e3nqvm6nsvokcc33v86ivll7ce6lru","9","brenner_latex_kontrolle_recursive_current.xml","4c489c44a3d856304a8724e04c1007aa8b18d0e7099257aaf711a084eab0de7c"
"Kurs:Differentialgeometrie (Osnabrück 2023)/Vorlesung 3/latex","106","142577","807136","2022-09-18T10:02:10Z","3e3nqvm6nsvokcc33v86ivll7ce6lru","9","brenner_latex_kontrolle_recursive_current.xml","4c489c44a3d856304a8724e04c1007aa8b18d0e7099257aaf711a084eab0de7c"
"Kurs:Differentialgeometrie (Osnabrück 2023)/Vorlesung 4/latex","106","142578","807138","2022-09-18T10:02:30Z","3e3nqvm6nsvokcc33v86ivll7ce6lru","9","brenner_latex_kontrolle_recursive_current.xml","4c489c44a3d856304a8724e04c1007aa8b18d0e7099257aaf711a084eab0de7c"
"Kurs:Differentialgeometrie (Osnabrück 2023)/Vorlesung 5/latex","106","142579","807139","2022-09-18T10:02:40Z","3e3nqvm6nsvokcc33v86ivll7ce6lru","9","brenner_latex_kontrolle_recursive_current.xml","4c489c44a3d856304a8724e04c1007aa8b18d0e7099257aaf711a084eab0de7c"
"Kurs:Differentialgeometrie (Osnabrück 2023)/Vorlesung 6/latex","106","142580","807140","2022-09-18T10:02:50Z","3e3nqvm6nsvokcc33v86ivll7ce6lru","9","brenner_latex_kontrolle_recursive_current.xml","4c489c44a3d856304a8724e04c1007aa8b18d0e7099257aaf711a084eab0de7c"
"Kurs:Differentialgeometrie (Osnabrück 2023)/Vorlesung 7/latex","106","142581","807141","2022-09-18T10:03:00Z","3e3nqvm6nsvokcc33v86ivll7ce6lru","9","brenner_latex_kontrolle_recursive_current.xml","4c489c44a3d856304a8724e04c1007aa8b18d0e7099257aaf711a084eab0de7c"
"Kurs:Differentialgeometrie (Osnabrück 2023)/Vorlesung 8/latex","106","142582","807142","2022-09-18T10:03:10Z","3e3nqvm6nsvokcc33v86ivll7ce6lru","9","brenner_latex_kontrolle_recursive_current.xml","4c489c44a3d856304a8724e04c1007aa8b18d0e7099257aaf711a084eab0de7c"
"Kurs:Differentialgeometrie (Osnabrück 2023)/Vorlesung 9/latex","106","142583","807144","2022-09-18T10:03:20Z","3e3nqvm6nsvokcc33v86ivll7ce6lru","9","brenner_latex_kontrolle_recursive_current.xml","4c489c44a3d856304a8724e04c1007aa8b18d0e7099257aaf711a084eab0de7c"
"Kurs:Differentialgeometrie (Osnabrück 2023)/Vorlesung 10/latex","106","142584","807115","2022-09-18T09:58:40Z","3e3nqvm6nsvokcc33v86ivll7ce6lru","9","brenner_latex_kontrolle_recursive_current.xml","4c489c44a3d856304a8724e04c1007aa8b18d0e7099257aaf711a084eab0de7c"
